timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763309486.843924,100.0,20205.8203125,30.9,0.0,0.0,0.0
1763309487.279771,100.0,20215.84375,30.9,0.0,0.0,0.0
1763309487.4523344,100.0,20215.81640625,30.9,0.0,0.0,0.0
1763309487.5789979,100.0,20204.81640625,30.8,0.0,0.0,0.0
1763309487.6940253,100.0,20189.47265625,30.8,0.0,0.0,0.0
1763309487.8441966,100.0,20208.65625,30.9,0.0,0.0,0.0
1763309488.222254,100.0,20217.109375,30.9,0.0,0.0,0.0
1763309488.3986936,100.0,20220.67578125,30.9,0.0,0.0,0.0
1763309488.5411263,100.0,20223.26953125,30.9,0.0,0.0,0.0
1763309488.6975873,100.0,20207.37890625,30.9,0.0,0.0,0.0
1763309488.8608487,100.0,20211.453125,30.9,0.0,0.0,0.0
1763309489.2923105,100.0,20218.65625,30.9,0.0,0.0,0.0
1763309489.409395,100.0,20219.74609375,30.9,0.0,0.0,0.0
1763309489.5535197,100.0,20209.828125,30.9,0.0,0.0,0.0
1763309489.681621,100.0,20189.84375,30.8,0.0,0.0,0.0
1763309489.843212,100.0,20213.3828125,30.9,0.0,0.0,0.0
1763309490.2363515,100.0,20224.96484375,30.9,0.0,0.0,0.0
1763309490.367973,100.0,20223.65625,30.9,0.0,0.0,0.0
1763309490.5254707,100.0,20215.57421875,30.9,0.0,0.0,0.0
1763309490.6566222,100.0,20208.0859375,30.9,0.0,0.0,0.0
1763309491.0424156,100.0,20219.1171875,30.9,0.0,0.0,0.0
1763309491.236331,100.0,20224.203125,30.9,0.0,0.0,0.0
1763309491.3970058,100.0,20220.91796875,30.9,0.0,0.0,0.0
1763309491.5254624,100.0,20211.8359375,30.9,0.0,0.0,0.0
1763309491.997358,100.0,20219.33984375,30.9,0.0,0.0,0.0
1763309492.1126199,100.0,20219.55078125,30.9,0.0,0.0,0.0
1763309492.229735,0.0,20214.46875,30.9,0.0,0.0,0.0
1763309492.3492148,100.0,20210.94921875,30.9,0.0,0.0,0.0
1763309492.5050514,100.0,20217.91796875,30.9,0.0,0.0,0.0
1763309492.922174,100.0,20223.0703125,30.9,0.0,0.0,0.0
1763309493.0506287,100.0,20222.08984375,30.9,0.0,0.0,0.0
1763309493.1691988,0.0,20216.890625,30.9,0.0,0.0,0.0
1763309493.2885337,100.0,20201.0625,30.8,0.0,0.0,0.0
1763309493.4307725,100.0,20218.44140625,30.9,0.0,0.0,0.0
